value	from	to
0,697434827	Карачаево-Черкессия	Алтайский край
0,863547882	Карелия	Алтайский край
0,917627547	Кемеровская обл.	Алтайский край
0,854229776	Кировская обл.	Алтайский край
0,931067182	Коми	Алтайский край
0,892728515	Костромская обл.	Алтайский край
0,921409403	Краснодарский край	Алтайский край
0,939871628	Красноярский край	Алтайский край
0,874883905	Крым	Алтайский край
0,969969683	Курганская обл.	Алтайский край
0,883224452	Курская обл.	Алтайский край
0,911648828	Ленинградская обл.	Алтайский край
0,901692946	Липецкая обл.	Алтайский край
0,713913451	Магаданская обл.	Алтайский край
0,810125696	Марий Эл	Алтайский край
0,907714501	Мордовия	Алтайский край
0,46670201	Москва	Алтайский край
0,672733067	Московская обл.	Алтайский край
0,830242312	Мурманская обл.	Алтайский край
0,904567887	Ненецкий АО	Алтайский край
0,908061491	Нижегородская обл.	Алтайский край
0,889271958	Новгородская обл.	Алтайский край
0,966041101	Новосибирская обл.	Алтайский край
0,971811823	Омская обл.	Алтайский край
0,926432649	Оренбургская обл.	Алтайский край
0,872415479	Орловская обл.	Алтайский край
0,923837025	Пензенская обл.	Алтайский край
0,947558627	Пермский край	Алтайский край
0,949232132	Приморский край	Алтайский край
0,890558105	Псковская обл.	Алтайский край
0,914639302	Ростовская обл.	Алтайский край
0,875364515	Рязанская обл.	Алтайский край
0,90707904	Самарская обл.	Алтайский край
0,822928494	Санкт-Петербург	Алтайский край
0,91199394	Саратовская обл.	Алтайский край
0,802474958	Саха (Якутия)	Алтайский край
0,852804265	Сахалинская обл.	Алтайский край
0,949616519	Свердловская обл.	Алтайский край
0,898363892	Севастополь	Алтайский край
0,741950184	Северная Осетия	Алтайский край
0,866569068	Смоленская обл.	Алтайский край
0,934481951	Ставропольский край	Алтайский край
0,854880528	Тамбовская обл.	Алтайский край
0,645763823	Татарстан	Алтайский край
0,919756235	Тверская обл.	Алтайский край
0,911315818	Томская обл.	Алтайский край
0,85982957	Тульская обл.	Алтайский край
0,549369945	Тыва	Алтайский край
0,979162208	Тюменская обл.	Алтайский край
0,877546742	Удмуртия	Алтайский край
0,927504157	Ульяновская обл.	Алтайский край
0,943632339	Хабаровский край	Алтайский край
0,855024501	Хакасия	Алтайский край
0,802189502	ХМАО – Югра	Алтайский край
0,938348518	Челябинская обл.	Алтайский край
0,737882195	Чечня	Алтайский край
0,757556886	Чувашия	Алтайский край
0,801368564	Чукотский АО	Алтайский край
0,734434594	Ямало-Ненецкий АО	Алтайский край
0,912911471	Ярославская обл.	Алтайский край
0,914035907	Адыгея	Амурская обл.
0,781057581	Алтай	Амурская обл.
0,931856118	Алтайский край	Амурская обл.
1	Амурская обл.	Амурская обл.
0,906391853	Архангельская обл.	Амурская обл.
0,815228825	Астраханская обл.	Амурская обл.
0,834257068	Башкортостан	Амурская обл.
0,879814314	Белгородская обл.	Амурская обл.
0,84832513	Брянская обл.	Амурская обл.
0,846673971	Бурятия	Амурская обл.
0,869722213	Владимирская обл.	Амурская обл.
0,919252668	Волгоградская обл.	Амурская обл.
0,88201832	Вологодская обл.	Амурская обл.
0,886568732	Воронежская обл.	Амурская обл.
0,703208257	Дагестан	Амурская обл.
0,891851657	Еврейская АО	Амурская обл.
0,910169209	Забайкальский край	Амурская обл.
0,905334914	Ивановская обл.	Амурская обл.
0,778325324	Ингушетия	Амурская обл.
0,898992406	Иркутская обл.	Амурская обл.
0,805269928	Кабардино-Балкария	Амурская обл.
0,858866603	Калининградская обл.	Амурская обл.
0,619047379	Калмыкия	Амурская обл.
0,84554154	Калужская обл.	Амурская обл.
0,805181461	Камчатский край	Амурская обл.
0,757849245	Карачаево-Черкессия	Амурская обл.
0,875950477	Карелия	Амурская обл.
0,922220598	Кемеровская обл.	Амурская обл.
0,835287882	Кировская обл.	Амурская обл.
0,915885037	Коми	Амурская обл.
0,864874528	Костромская обл.	Амурская обл.
0,87199304	Краснодарский край	Амурская обл.
0,889320845	Красноярский край	Амурская обл.
0,839992381	Крым	Амурская обл.
0,907030306	Курганская обл.	Амурская обл.
0,837616005	Курская обл.	Амурская обл.
0,880641433	Ленинградская обл.	Амурская обл.
0,869364257	Липецкая обл.	Амурская обл.
0,73826479	Магаданская обл.	Амурская обл.
0,759476834	Марий Эл	Амурская обл.
0,917459764	Мордовия	Амурская обл.
0,470290985	Москва	Амурская обл.
0,655235819	Московская обл.	Амурская обл.
0,791037404	Мурманская обл.	Амурская обл.
0,845305123	Ненецкий АО	Амурская обл.
0,864840473	Нижегородская обл.	Амурская обл.
0,894486097	Новгородская обл.	Амурская обл.
0,943822075	Новосибирская обл.	Амурская обл.
0,901031251	Омская обл.	Амурская обл.
0,84903936	Оренбургская обл.	Амурская обл.
0,892134143	Орловская обл.	Амурская обл.
0,890645088	Пензенская обл.	Амурская обл.
0,89865269	Пермский край	Амурская обл.
0,936586283	Приморский край	Амурская обл.
0,899132207	Псковская обл.	Амурская обл.
0,866453252	Ростовская обл.	Амурская обл.
0,8870344	Рязанская обл.	Амурская обл.
0,846424558	Самарская обл.	Амурская обл.
0,822353016	Санкт-Петербург	Амурская обл.
0,893852733	Саратовская обл.	Амурская обл.
0,832693831	Саха (Якутия)	Амурская обл.
0,854981884	Сахалинская обл.	Амурская обл.
0,923275244	Свердловская обл.	Амурская обл.
0,860867526	Севастополь	Амурская обл.
0,740162173	Северная Осетия	Амурская обл.
0,85661039	Смоленская обл.	Амурская обл.
0,877644821	Ставропольский край	Амурская обл.
0,853271878	Тамбовская обл.	Амурская обл.
0,734879576	Татарстан	Амурская обл.
0,893759285	Тверская обл.	Амурская обл.
0,955484883	Томская обл.	Амурская обл.
0,883966796	Тульская обл.	Амурская обл.
0,534754716	Тыва	Амурская обл.
0,912555765	Тюменская обл.	Амурская обл.
0,824360471	Удмуртия	Амурская обл.
0,89247731	Ульяновская обл.	Амурская обл.
0,95676037	Хабаровский край	Амурская обл.
0,857748851	Хакасия	Амурская обл.
0,77304561	ХМАО – Югра	Амурская обл.
0,909646987	Челябинская обл.	Амурская обл.
0,747659634	Чечня	Амурская обл.
0,77203522	Чувашия	Амурская обл.
0,815182101	Чукотский АО	Амурская обл.
0,715220087	Ямало-Ненецкий АО	Амурская обл.
0,891262636	Ярославская обл.	Амурская обл.
0,936524378	Адыгея	Архангельская обл.
0,861715616	Алтай	Архангельская обл.
0,909220463	Алтайский край	Архангельская обл.
0,906391853	Амурская обл.	Архангельская обл.
1	Архангельская обл.	Архангельская обл.
0,887616409	Астраханская обл.	Архангельская обл.
0,785672586	Башкортостан	Архангельская обл.
