from;to;value
Чукотский АО;Амурская обл.;-0,455656789821699
Ямало-Ненецкий АО;Амурская обл.;0,386867048809555
Ярославская обл.;Амурская обл.;0,757763241926627
Адыгея;Архангельская обл.;0,353631328193119
Алтай;Архангельская обл.;0,781418959306947
Алтайский край;Архангельская обл.;0,62373881418125
Амурская обл.;Архангельская обл.;0,309384143881616
Архангельская обл.;Архангельская обл.;1
Астраханская обл.;Архангельская обл.;0,81971092476324
Башкортостан;Архангельская обл.;0,901456309328116
Белгородская обл.;Архангельская обл.;0,918635021688654
Брянская обл.;Архангельская обл.;0,888238090273474
Бурятия;Архангельская обл.;0,535415361466418
Владимирская обл.;Архангельская обл.;0,832794568672616
Волгоградская обл.;Архангельская обл.;0,947488635953676
Вологодская обл.;Архангельская обл.;0,910906100750343
Воронежская обл.;Архангельская обл.;0,934087937817688
Дагестан;Архангельская обл.;0,834173393717896
Еврейская АО;Архангельская обл.;0,885561165565065
Забайкальский край;Архангельская обл.;0,947934597242073
Ивановская обл.;Архангельская обл.;0,880050540009105
Ингушетия;Архангельская обл.;0,610103908704632
Иркутская обл.;Архангельская обл.;0,540170652229262
Кабардино-Балкария;Архангельская обл.;0,87338085812281
Калининградская обл.;Архангельская обл.;0,912588992367167
Калмыкия;Архангельская обл.;0,131140198977805
Калужская обл.;Архангельская обл.;0,72435505839659
Камчатский край;Архангельская обл.;0,680184699158406
Карачаево-Черкессия;Архангельская обл.;0,843268310200684
Карелия;Архангельская обл.;0,819066570304457
Кемеровская обл.;Архангельская обл.;0,429675836640559
Кировская обл.;Архангельская обл.;0,718964759413555
Коми;Архангельская обл.;0,980667314214047
Костромская обл.;Архангельская обл.;0,941277438096119
Краснодарский край;Архангельская обл.;0,21046970924557
Красноярский край;Архангельская обл.;0,776348513945516
Крым;Архангельская обл.;0,907912689144958
Курганская обл.;Архангельская обл.;0,92634821411861
Курская обл.;Архангельская обл.;0,935158239883723
Ленинградская обл.;Архангельская обл.;0,717867875618408
Липецкая обл.;Архангельская обл.;0,943392253789923
Магаданская обл.;Архангельская обл.;0,819336912729102
Марий Эл;Архангельская обл.;0,889642592852047
Мордовия;Архангельская обл.;0,934806114410266
Москва;Архангельская обл.;0,544213333731745
Московская обл.;Архангельская обл.;0,808202917612402
Мурманская обл.;Архангельская обл.;0,959422679038701
Ненецкий АО;Архангельская обл.;0,768760201237549
Нижегородская обл.;Архангельская обл.;0,92344064134073
Новгородская обл.;Архангельская обл.;0,924241509961064
Новосибирская обл.;Архангельская обл.;0,497072121089215
Омская обл.;Архангельская обл.;0,807130458385373
Оренбургская обл.;Архангельская обл.;0,749789219481592
Орловская обл.;Архангельская обл.;0,940027766826544
Пензенская обл.;Архангельская обл.;0,934102100838285
Пермский край;Архангельская обл.;0,895587424267768
Приморский край;Архангельская обл.;0,212218710547556
Псковская обл.;Архангельская обл.;0,932772600356202
Ростовская обл.;Архангельская обл.;0,863005155507165
Рязанская обл.;Архангельская обл.;0,926895724715089
Самарская обл.;Архангельская обл.;0,946359876051349
Санкт-Петербург;Архангельская обл.;0,726648364195714
Саратовская обл.;Архангельская обл.;0,950165735447711
Саха (Якутия);Архангельская обл.;0,888129175934872
Сахалинская обл.;Архангельская обл.;0,0498246720383493
Свердловская обл.;Архангельская обл.;0,936219660314429
Севастополь;Архангельская обл.;0,919603948661049
Северная Осетия;Архангельская обл.;0,938689193191166
Смоленская обл.;Архангельская обл.;0,93539349430545
Ставропольский край;Архангельская обл.;0,851083164919668
Тамбовская обл.;Архангельская обл.;0,507501792493156
Татарстан;Архангельская обл.;0,820041002634585
Тверская обл.;Архангельская обл.;0,902637956401495
Томская обл.;Архангельская обл.;0,785646764841426
Тульская обл.;Архангельская обл.;0,61475695586265
Тыва;Архангельская обл.;0,747470367579734
Тюменская обл.;Архангельская обл.;0,894150892576119
Удмуртия;Архангельская обл.;0,834943790590863
Ульяновская обл.;Архангельская обл.;0,962716578401141
Хабаровский край;Архангельская обл.;0,631875388980308
Хакасия;Архангельская обл.;0,979386662600239
ХМАО – Югра;Архангельская обл.;0,961672265105008
Челябинская обл.;Архангельская обл.;0,514981818344141
Чечня;Архангельская обл.;0,964719550277512
Чувашия;Архангельская обл.;0,974543263723503
Чукотский АО;Архангельская обл.;0,594787278158071
Ямало-Ненецкий АО;Архангельская обл.;0,932868815935391
Ярославская обл.;Архангельская обл.;0,791298196818671
Адыгея;Астраханская обл.;0,584132528786126
Алтай;Астраханская обл.;0,588044143946539
Алтайский край;Астраханская обл.;0,729435118207959
Амурская обл.;Астраханская обл.;0,507765311719723
Архангельская обл.;Астраханская обл.;0,81971092476324
Астраханская обл.;Астраханская обл.;1
Башкортостан;Астраханская обл.;0,761962436318558
Белгородская обл.;Астраханская обл.;0,872726541683087
Брянская обл.;Астраханская обл.;0,635599165581307
Бурятия;Астраханская обл.;0,674685069714099
Владимирская обл.;Астраханская обл.;0,806708424459931
Волгоградская обл.;Астраханская обл.;0,812605303461647
Вологодская обл.;Астраханская обл.;0,848173059625974
Воронежская обл.;Астраханская обл.;0,745377554872391
Дагестан;Астраханская обл.;0,8399533555334
Еврейская АО;Астраханская обл.;0,688549855556407
Забайкальский край;Астраханская обл.;0,883483079047206
Ивановская обл.;Астраханская обл.;0,751088894327731
Ингушетия;Астраханская обл.;0,6479139081114
Иркутская обл.;Астраханская обл.;0,695188538170329
Кабардино-Балкария;Астраханская обл.;0,726414294060225
Калининградская обл.;Астраханская обл.;0,61906055752039
Калмыкия;Астраханская обл.;-0,0840215812193973
Калужская обл.;Астраханская обл.;0,770754500223964
Камчатский край;Астраханская обл.;0,719135309616289
Карачаево-Черкессия;Астраханская обл.;0,73820490745764
Карелия;Астраханская обл.;0,646491109602239
Кемеровская обл.;Астраханская обл.;0,569622437224293
Кировская обл.;Астраханская обл.;0,740768035593328
Коми;Астраханская обл.;0,765539878272118
Костромская обл.;Астраханская обл.;0,784630452657293
Краснодарский край;Астраханская обл.;0,411693576139393
Красноярский край;Астраханская обл.;0,838785874972393
Крым;Астраханская обл.;0,616026832798877
Курганская обл.;Астраханская обл.;0,865490178758099
Курская обл.;Астраханская обл.;0,68852037306383
Ленинградская обл.;Астраханская обл.;0,738393128498559
Липецкая обл.;Астраханская обл.;0,860307093245508
Магаданская обл.;Астраханская обл.;0,827240204962232
Марий Эл;Астраханская обл.;0,868252624203385
Мордовия;Астраханская обл.;0,855531740325232
Москва;Астраханская обл.;0,323244163132597
Московская обл.;Астраханская обл.;0,639772677981649
Мурманская обл.;Астраханская обл.;0,746646226987367
Ненецкий АО;Астраханская обл.;0,536239547262603
Нижегородская обл.;Астраханская обл.;0,755804481926601
Новгородская обл.;Астраханская обл.;0,783374141658279
Новосибирская обл.;Астраханская обл.;0,61970430623146
Омская обл.;Астраханская обл.;0,8356086218761
Оренбургская обл.;Астраханская обл.;0,479687223143079
Орловская обл.;Астраханская обл.;0,825862666648543
Пензенская обл.;Астраханская обл.;0,884046085480143
Пермский край;Астраханская обл.;0,884603452782792
Приморский край;Астраханская обл.;0,449441378204345
Псковская обл.;Астраханская обл.;0,69820124473448
Ростовская обл.;Астраханская обл.;0,855035539874373
Рязанская обл.;Астраханская обл.;0,846592373242528
Самарская обл.;Астраханская обл.;0,718630614916016
Санкт-Петербург;Астраханская обл.;0,540878513793372
Саратовская обл.;Астраханская обл.;0,8018365920302
Саха (Якутия);Астраханская обл.;0,660125154644319
Сахалинская обл.;Астраханская обл.;0,31476172713358
Свердловская обл.;Астраханская обл.;0,868419281028573
Севастополь;Астраханская обл.;0,637617923724304
Северная Осетия;Астраханская обл.;0,779972006861252
Смоленская обл.;Астраханская обл.;0,722406948033356
Ставропольский край;Астраханская обл.;0,843462055799557
Тамбовская обл.;Астраханская обл.;0,588843391115958
Татарстан;Астраханская обл.;0,747941186963899
Тверская обл.;Астраханская обл.;0,857500897035445
Томская обл.;Астраханская обл.;0,758934690396895
Тульская обл.;Астраханская обл.;0,635753093506911
